id;titulo;zipNome;remotePath;destPath
"1167";"Matriz Bordado Abelha Rainha";"abelharainha18cm-jkm9nf.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/abelharainha18cm-jkm9nf.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\abelharainha18cm-jkm9nf.zip"
"1178";"Matriz Bordado Academia Polícia Militar do Pará";"AcademiaPm-in9fin.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/AcademiaPm-in9fin.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\AcademiaPm-in9fin.zip"
"1180";"Matriz Bordado Chapéu e Bota";"chapeuebota10cm-i90weh.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/chapeuebota10cm-i90weh.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\chapeuebota10cm-i90weh.zip"
"1194";"Matriz Bordado Associação Comercial de São Paulo";"ACSP-mggoym.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/ACSP-mggoym.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\ACSP-mggoym.zip"
"1205";"Matriz Bordado Acupunturista Medicina Tradicional Chinesa";"acupunturistachinesa-vfedvx.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/acupunturistachinesa-vfedvx.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\acupunturistachinesa-vfedvx.zip"
"1210";"Matriz Bordado Brasão Administração 1";"administracao-da3uiz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/administracao-da3uiz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\administracao-da3uiz.zip"
"1214";"Matriz Bordado Dinossauro Romântico";"18CM-comc6m.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/18CM-comc6m.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\18CM-comc6m.zip"
"1224";"Matriz Bordado Universidade Estadual do Maranhão - UEMA";"Uema-re8kb8.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/Uema-re8kb8.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Uema-re8kb8.zip"
"1228";"Matriz Bordado Administração 2";"administracao-x6w9i7.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/administracao-x6w9i7.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\administracao-x6w9i7.zip"
"1237";"Matriz Bordado Logo Aeromóvel";"Tamanho1-1xexhc.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/Tamanho1-1xexhc.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Tamanho1-1xexhc.zip"
"1244";"Matriz Bordado Fonoaudiologia Brasão 1";"fonoaudiologia-7t76yf.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/fonoaudiologia-7t76yf.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\fonoaudiologia-7t76yf.zip"
"1248";"Matriz Bordado Agente Comunitário de Saúde";"agentecomunitario-psv3h4.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/agentecomunitario-psv3h4.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\agentecomunitario-psv3h4.zip"
"1254";"Matriz Bordado Polícia Militar do Amazonas";"AMAZONAS-ikpgek.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/AMAZONAS-ikpgek.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\AMAZONAS-ikpgek.zip"
"1259";"Matriz Bordado Fiat Adventure";"FiatAdventure-ln5hds.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/FiatAdventure-ln5hds.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\FiatAdventure-ln5hds.zip"
"1264";"Matriz Bordado Faetec Rio de Janeiro";"FAETEC-faof2r.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/FAETEC-faof2r.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\FAETEC-faof2r.zip"
"1268";"Matriz Bordado Uninovafapi Fisioterapia";"uninovafapi-krcv27.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/uninovafapi-krcv27.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\uninovafapi-krcv27.zip"
"1272";"Matriz Bordado Uninovafapi Enfermagem";"unienfermagem-vg4pis.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/unienfermagem-vg4pis.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\unienfermagem-vg4pis.zip"
"1276";"Matriz Bordado Unifaa Centro Universitário";"unifaa-qwszuu.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/unifaa-qwszuu.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\unifaa-qwszuu.zip"
"1303";"Matriz Bordado Agronomia 1";"agronomia1-xhgjre.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/agronomia1-xhgjre.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\agronomia1-xhgjre.zip"
"1340";"Pacote de Matrizes Bluey Bingo (8 Modelos)";"pacote-blueybingo-0tecgu.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/pacote-blueybingo-0tecgu.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\pacote-blueybingo-0tecgu.zip"
"1386";"Matriz Bordado Bahiana Escola de Medicina e Saúde Pública";"bahiana-be9rsj.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/bahiana-be9rsj.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\bahiana-be9rsj.zip"
"1392";"Matriz Bordado Arlequina";"Arlequina-pxtpck.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/Arlequina-pxtpck.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Arlequina-pxtpck.zip"
"1398";"Pacote Matriz Bordado Banco do Brasil";"BB1-pnjn4y.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/BB1-pnjn4y.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\BB1-pnjn4y.zip"
"1411";"Matriz Bordado Brasão Enfermagem Unicesumar";"enfermagemunicesumar-rbtzrz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/enfermagemunicesumar-rbtzrz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\enfermagemunicesumar-rbtzrz.zip"
"1419";"Matriz Bordado Bandeira Brasil Bolívia";"bandeira-brasil-bolivia-6va5xr.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/bandeira-brasil-bolivia-6va5xr.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\bandeira-brasil-bolivia-6va5xr.zip"
"1424";"Matriz Bordado Brasão Letras";"letras-ua1nwn.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2025/02/letras-ua1nwn.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\letras-ua1nwn.zip"
