id;titulo;zipNome;remotePath;destPath;status
"12259";"Matriz Bordado Logo Enfermagem 7";"enfermagem7-lqmddt.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/enfermagem7-lqmddt.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\enfermagem7-lqmddt.zip";"PENDENTE"
"12264";"Matriz Bordado Uneb";"UNEB-trvaik.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/UNEB-trvaik.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\UNEB-trvaik.zip";"PENDENTE"
"12273";"Matriz Bordado Brasão Biomedicina 3";"brasao-biomedicina-ah6wfm.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/brasao-biomedicina-ah6wfm.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\brasao-biomedicina-ah6wfm.zip";"PENDENTE"
"12279";"Matriz Bordado Brasão Biomedicina 4";"biomedicina4-gfyb1z.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/biomedicina4-gfyb1z.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\biomedicina4-gfyb1z.zip";"PENDENTE"
"12284";"Matriz Bordado PBR Professional Bull Riders";"PBR-kfzpul.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/PBR-kfzpul.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\PBR-kfzpul.zip";"PENDENTE"
"12297";"Matriz Bordado Logo Enfermagem 8";"enfermagem8-vhibnz.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/enfermagem8-vhibnz.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\enfermagem8-vhibnz.zip";"PENDENTE"
"12303";"Matriz Bordado Faculdade Metropolitana de Rondônia";"faculdade-rondonia-rqfz7i.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/faculdade-rondonia-rqfz7i.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\faculdade-rondonia-rqfz7i.zip";"PENDENTE"
"12308";"Matriz Bordado Trator John Deere 2";"trator-john-deere-harxkn.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/trator-john-deere-harxkn.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\trator-john-deere-harxkn.zip";"PENDENTE"
"12313";"Matriz Bordado Trator John Deere 3";"Trator3-jyiv4v.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/Trator3-jyiv4v.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Trator3-jyiv4v.zip";"PENDENTE"
"12318";"Matriz Bordado Trator John Deere 4";"Trator4-ft2fcl.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/Trator4-ft2fcl.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\Trator4-ft2fcl.zip";"PENDENTE"
"12326";"Matriz Bordado Comunhão Católica";"comunhao-catolica-myzbpr.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/comunhao-catolica-myzbpr.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\comunhao-catolica-myzbpr.zip";"PENDENTE"
"12341";"Matriz Bordado Serviço Social";"servico-social-jwoa1t.zip";"/home/digitalbordados/domains/novo.digitalbordados.com.br/public_html/wp-content/uploads/woocommerce_uploads/2026/03/servico-social-jwoa1t.zip";"D:\www\digitalbordados\digitalbordados\uploads\arquivos\servico-social-jwoa1t.zip";"PENDENTE"
