id;titulo;zipNome;file_path
"1692";"Pacote de Matrizes Chef de Cozinha";"PacoteCozinheiro-g6elqw.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/PacoteCozinheiro-g6elqw.zip"
"1709";"Pacote de Matrizes Bichinhos Rippled na Chuva";"Bichinhos-Rippled-na-Chuva-uirppx.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Bichinhos-Rippled-na-Chuva-uirppx.zip"
"1711";"Pacote com 39 Matrizes Crivo Diversos";"PacoteCrivo-amumba.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/PacoteCrivo-amumba.zip"
"1735";"Pacote com 24 Matrizes Frutinhas Rippled";"FRUTINHAS-RIPPLED-fg6zm8.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/FRUTINHAS-RIPPLED-fg6zm8.zip"
"1746";"Pacote com 55 Matrizes Carros Retrô";"Carros_Retro-2m2jbw.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Carros_Retro-2m2jbw.zip"
"1756";"Pacote de Matrizes Alfabeto Arco Íris";"Alfabeto-Arco-Iris-kkdf2d.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Alfabeto-Arco-Iris-kkdf2d.zip"
"1761";"Pacote de Matrizes Alfabeto em Rosas";"Alfabeto_Rosas-v5g0fb.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Alfabeto_Rosas-v5g0fb.zip"
"1768";"Pacote de Matrizes Alfabeto em Coroa";"Alfabeto_Coroa-2qww0w.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Alfabeto_Coroa-2qww0w.zip"
"1772";"Pacote com 7 Matrizes Animais Bebê Cute";"Baby-Animal-Designs-ajyibl.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Baby-Animal-Designs-ajyibl.zip"
"1786";"Pacote com 10 Matrizes Animais de Pelúcia";"Animais-de-Pelucia-iolpwl.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Animais-de-Pelucia-iolpwl.zip"
"1792";"Pacote de Matrizes Animais Marinho Infantil";"Animais-Marinhos-76znu3.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Animais-Marinhos-76znu3.zip"
"1802";"Pacote Matrizes Ursinhos Coração Menina com Barrinha";"Pacote-Ursinhos-Feminino-ieq3ry.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Pacote-Ursinhos-Feminino-ieq3ry.zip"
"1813";"Pacote Matrizes Ursinhos Coração Menino com Barrinha";"Pacote-Ursinhos-Menino-2k1ccb.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Pacote-Ursinhos-Menino-2k1ccb.zip"
"1832";"Pacote de Matrizes Dinossauro Bebê Fofuxo";"Bebe-Dinossauro-byqy96.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Bebe-Dinossauro-byqy96.zip"
"1936";"Matriz Bordado Brasão Fisioterapia 1";"brasaofisioterapia1-qwkpzw.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/brasaofisioterapia1-qwkpzw.zip"
"1942";"Matriz Bordado Fmp - Fundação Escola Superior do Ministério Público";"FMP-cyvtey.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/FMP-cyvtey.zip"
"1948";"Pacote de Matrizes Beija Flor Rippled";"BeijaFlorrRippled-uylind.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/BeijaFlorrRippled-uylind.zip"
"1958";"Pacote 45 Matrizes com Bicicletas Diversas";"BicicletasFloral-cx4veg.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/BicicletasFloral-cx4veg.zip"
"1971";"Pacote 40 Matrizes Patch de Motociclistas";"BrasoesMotociclista-q8x0up.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/BrasoesMotociclista-q8x0up.zip"
"1981";"Matriz Bordado Bitcoin Btc";"bitcoin-fohwaf.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/bitcoin-fohwaf.zip"
"1984";"Matriz Bordado Odontologia Integrada";"odontologia-integrada-xgjeaa.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/odontologia-integrada-xgjeaa.zip"
"1992";"Matriz Bordado Fic Faculdade Integrada Cete";"ficfaculdade-8esbqt.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/ficfaculdade-8esbqt.zip"
"2003";"Matriz Bordado Enfermagem 1";"Enfermagem1-wn7xpg.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/Enfermagem1-wn7xpg.zip"
"2007";"Matriz Bordado Estética e Cosmética 1";"esteticacosmetica-cc4y9e.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/esteticacosmetica-cc4y9e.zip"
"2011";"Matriz Bordado Nossa Senhora de Lourdes";"lourdes20cm-zm6lqj.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/lourdes20cm-zm6lqj.zip"
"2185";"Matriz Bordado Polícia Científica Pará";"policiacientificapa-hsrhkb.zip";"https://novo.digitalbordados.com.br/wp-content/uploads/woocommerce_uploads/2025/03/policiacientificapa-hsrhkb.zip"
